timestamp,hostname,ip_address,command,output,status
2025-10-20 15:50:49,router1,192.168.1.1,show version,Connection timeout - device unreachable,failed
2025-10-20 15:50:49,router1,192.168.1.1,show ip interface brief,Connection timeout - device unreachable,failed
2025-10-20 15:50:49,router1,192.168.1.1,show running-config | include hostname,Connection timeout - device unreachable,failed
2025-10-20 15:50:49,router1,192.168.1.1,show inventory,Connection timeout - device unreachable,failed
2025-10-20 15:50:59,switch1,192.168.1.2,show version,Connection timeout - device unreachable,failed
2025-10-20 15:50:59,switch1,192.168.1.2,show ip interface brief,Connection timeout - device unreachable,failed
2025-10-20 15:50:59,switch1,192.168.1.2,show running-config | include hostname,Connection timeout - device unreachable,failed
2025-10-20 15:50:59,switch1,192.168.1.2,show inventory,Connection timeout - device unreachable,failed
2025-10-20 15:51:01,router2,10.0.0.1,show version,Connection timeout - device unreachable,failed
2025-10-20 15:51:01,router2,10.0.0.1,show ip interface brief,Connection timeout - device unreachable,failed
2025-10-20 15:51:01,router2,10.0.0.1,show running-config | include hostname,Connection timeout - device unreachable,failed
2025-10-20 15:51:01,router2,10.0.0.1,show inventory,Connection timeout - device unreachable,failed
